#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
10,-61176.86876529909,146.8002903801687,1.0029592187918825
20,-61840.86876529909,176.34162046400047,1.0029592187918825
30,-61230.86876529909,153.84982289894225,1.0029592187918825
40,-61038.86876529909,148.68684769207633,1.0029592187918825
50,-61273.86876529909,159.40462018027577,1.0029592187918825
60,-61111.99376529909,156.20053005555363,1.0029592187918825
70,-60826.36876529909,148.74257764509971,1.0029592187918825
80,-60707.24376529909,148.76530751206965,1.0029592187918825
90,-60623.49376529909,149.28087746639233,1.0029592187918825
100,-60624.865990939434,151.80242251066105,1.0076472205554317
110,-60502.240990939434,150.4035552770241,1.0076472205554317
120,-60640.365990939434,158.1455228936729,1.0076472205554317
130,-60637.865990939434,159.6816145648175,1.0076472205554317
140,-60598.928490939434,161.5173214107464,1.0076472205554317
150,-60503.18835023884,160.10190375306829,1.0040510324973937
160,-60471.68835023884,161.71897597231833,1.0040510324973937
170,-60468.75085023884,164.60283902803224,1.0040510324973937
180,-60577.428874861915,170.46462657925917,1.011064881219184
190,-60625.116374861915,175.77211186798903,1.011064881219184
200,-60570.241374861915,177.52426451909125,1.011064881219184
210,-60492.991374861915,177.1771221450608,1.011064881219184
220,-60536.366374861915,180.35940814883494,1.011064881219184
230,-60440.741374861915,177.57784006687746,1.011064881219184
240,-60414.366374861915,179.36424344359673,1.011064881219184
250,-60436.803874861915,182.03313677822024,1.011064881219184
260,-60403.116374861915,182.2980185926662,1.011064881219184
270,-60443.991374861915,184.9106726792907,1.011064881219184
280,-60321.866374861915,182.66164928363185,1.011064881219184
290,-60282.991374861915,182.98682597877783,1.011064881219184
300,-60325.991374861915,186.92109139357024,1.011064881219184
310,-60348.928874861915,188.680653980849,1.011064881219184
320,-60361.616374861915,193.18975062088313,1.011064881219184
330,-60388.491374861915,195.23315098154936,1.011064881219184
340,-60252.991374861915,191.9017521927723,1.011064881219184
350,-60274.9517353666,193.3862729714653,1.0186162442306022
360,-60306.3267353666,198.22476647950964,1.0186162442306022
370,-60303.0767353666,199.12483832525427,1.0186162442306022
380,-60263.0767353666,200.1293383922005,1.0186162442306022
390,-60208.9517353666,199.52996637506942,1.0186162442306022
400,-60157.8267353666,200.19674893161474,1.0186162442306022
410,-60126.5767353666,199.41540985416881,1.0186162442306022
420,-60122.7642353666,201.40573706408173,1.0186162442306022
430,-60096.0142353666,202.92115491502244,1.0186162442306022
440,-60171.8267353666,207.0976343289744,1.0186162442306022
450,-60089.159795032814,206.40948650531192,1.0210352231989823
460,-60123.847295032814,209.09566385741817,1.0210352231989823
470,-60023.409795032814,206.5167178590641,1.0210352231989823
480,-60019.534795032814,209.20527827690213,1.0210352231989823
490,-59958.472295032814,207.06507486283513,1.0210352231989823
500,-60005.659795032814,209.73064226358701,1.0210352231989823
510,-60029.097295032814,212.71427847098087,1.0210352231989823
520,-59823.034795032814,206.33507205612756,1.0210352231989823
530,-59920.972295032814,212.375612382364,1.0210352231989823
540,-59733.409795032814,206.80094588356215,1.0210352231989823
550,-59877.909795032814,214.04909458005713,1.0210352231989823
560,-59659.097295032814,208.04758502119807,1.0210352231989823
570,-59847.659795032814,217.16031250753818,1.0210352231989823
580,-59762.284795032814,216.3428306819512,1.0210352231989823
590,-59711.034795032814,216.59172969314795,1.0210352231989823
600,-59883.09040889086,224.99434825550145,1.0267767867571278
610,-59670.34040889086,218.2124940679208,1.0267767867571278
620,-59737.09040889086,222.65212068398966,1.0267767867571278
630,-59707.96540889086,222.46208295206912,1.0267767867571278
640,-59775.46540889086,227.85266128698882,1.0267767867571278
650,-59695.21540889086,226.09557138426365,1.0267767867571278
660,-59795.34040889086,231.19440153916105,1.0267767867571278
670,-59723.65290889086,229.4826346911199,1.0267767867571278
680,-59626.34040889086,227.02420662029039,1.0267767867571278
690,-59670.15290889086,228.1610152537814,1.0267767867571278
700,-59648.30271703249,229.33033926719546,1.0275021054754678
710,-59659.49021703249,229.60619191132974,1.0275021054754678
720,-59580.55271703249,228.75014969840578,1.0275021054754678
730,-59631.303352331044,231.40603672203497,1.0266501886142894
740,-59310.615852331044,221.08708693932638,1.0266501886142894
750,-59560.356561936205,232.36873617738826,1.0212804039913193
760,-59533.169061936205,232.34809216700228,1.0212804039913193
770,-59574.731561936205,236.2704065955463,1.0212804039913193
780,-59354.856561936205,229.73231985272886,1.0212804039913193
790,-59395.856561936205,233.86071013078038,1.0212804039913193
800,-59430.23862337752,234.7647420609626,1.0236532683117165
810,-59442.30112337752,237.24769489192633,1.0236532683117165
820,-59444.92612337752,238.17317477914617,1.0236532683117165
830,-59370.149537413265,237.29296030017156,1.0244165286409348
840,-59341.774537413265,237.7051194156279,1.0244165286409348
850,-59320.462037413265,238.8774933703333,1.0244165286409348
860,-59387.899537413265,243.02227996699426,1.0244165286409348
870,-59389.024537413265,244.92882519291317,1.0244165286409348
880,-59455.52227026969,246.96812506507044,1.02611695781241
890,-59376.52227026969,246.7819573665548,1.02611695781241
900,-59419.20067412057,250.0546476556511,1.0250182731134025
910,-59290.57567412057,245.67751164968377,1.0250182731134025
920,-59384.38817412057,251.14627834938025,1.0250182731134025
930,-59269.70067412057,249.0146338798566,1.0250182731134025
940,-59333.51317412057,252.32724011123437,1.0250182731134025
950,-59252.95067412057,249.67902536813085,1.0250182731134025
960,-59255.07567412057,250.3509368143443,1.0250182731134025
970,-59096.45067412057,245.27050354244759,1.0250182731134025
980,-59252.782291056705,251.64520811092024,1.024015974161651
990,-59101.844791056705,247.57304363815805,1.024015974161651
1000,-59261.469791056705,254.52173419637074,1.024015974161651
1010,-59080.907291056705,248.5538905990833,1.024015974161651
1020,-59056.782291056705,248.1754518845295,1.024015974161651
1030,-59092.469791056705,250.38681842189658,1.024015974161651
1040,-59078.094791056705,251.0538712422292,1.024015974161651
1050,-59143.969791056705,256.57810507650623,1.024015974161651
1060,-58913.532291056705,247.01560096470914,1.024015974161651
1070,-59011.782291056705,252.45619494131216,1.024015974161651
1080,-59026.657291056705,254.68079370880474,1.024015974161651
1090,-59052.157291056705,255.28236669535,1.024015974161651
1100,-59067.532291056705,257.6663025725548,1.024015974161651
1110,-59021.469791056705,256.94826561934525,1.024015974161651
1120,-59011.282291056705,257.0322846924432,1.024015974161651
1130,-59041.407291056705,258.8638458781387,1.024015974161651
1140,-58822.032291056705,249.8185975762871,1.024015974161651
1150,-58990.282291056705,258.08630137820404,1.024015974161651
1160,-58983.594791056705,255.51562727201215,1.024015974161651
1170,-58936.094791056705,253.97527190222596,1.024015974161651
1180,-58944.282291056705,256.5180268301417,1.024015974161651
1190,-58842.532291056705,254.59778492227525,1.024015974161651
1200,-58970.282291056705,260.65046118847357,1.024015974161651
1210,-58846.907291056705,255.8705010445212,1.024015974161651
1220,-58880.407291056705,257.7079819918421,1.024015974161651
1230,-58864.032291056705,258.75686492076676,1.024015974161651
1240,-59039.032291056705,264.88835465636595,1.024015974161651
1250,-58854.20266908803,257.3833167349945,1.0216087395681699
1260,-58980.82766908803,262.9252384773583,1.0216087395681699
1270,-58894.82766908803,259.9513891321711,1.0216087395681699
1280,-58908.57766908803,260.6588877748862,1.0216087395681699
1290,-58918.70266908803,261.65265905052735,1.0216087395681699
1300,-58970.64016908803,263.6146622492803,1.0216087395681699
1310,-58996.57766908803,264.2049700025896,1.0216087395681699
1320,-58888.57766908803,260.9134870720548,1.0216087395681699
1330,-58955.38518307253,262.9401440845747,1.0286379255157263
1340,-59060.38518307253,268.787299477232,1.0286379255157263
1350,-58944.49768603989,262.98051509540124,1.0275276222116188
1360,-59033.68518603989,268.504823451032,1.0275276222116188
1370,-59084.99768603989,270.32302216083986,1.0275276222116188
1380,-58876.74768603989,261.78400513112047,1.0275276222116188
1390,-58964.43518603989,266.6063078613312,1.0275276222116188
1400,-58952.07607073814,266.70358597452434,1.0288630207794331
1410,-58903.26357073814,264.7439456275303,1.0288630207794331
1420,-58925.01357073814,268.2778164688438,1.0288630207794331
1430,-58865.51357073814,265.03586853864834,1.0288630207794331
1440,-58824.45107073814,262.5882100219297,1.0288630207794331
1450,-58993.63857073814,269.3909052016265,1.0288630207794331
1460,-58908.45107073814,266.22516432440295,1.0288630207794331
1470,-58836.07607073814,263.81682805160693,1.0288630207794331
1480,-59133.34768813499,275.77001308603565,1.030431526062173
1490,-58846.03518813499,265.8166311142859,1.030431526062173
1500,-58967.256116471486,269.5382663427797,1.0373784270291417
1510,-59021.443616471486,273.6494113722941,1.0373784270291417
1520,-58932.756116471486,269.9886335918517,1.0373784270291417
1530,-59046.756116471486,275.3244333273035,1.0373784270291417
1540,-58852.381116471486,269.7456232403681,1.0373784270291417
1550,-58931.256116471486,273.9320108419079,1.0373784270291417
1560,-59065.256116471486,279.4981236964018,1.0373784270291417
1570,-58854.943616471486,271.12812619620706,1.0373784270291417
1580,-58832.818616471486,271.2786233022399,1.0373784270291417
1590,-58896.818616471486,274.2857716410147,1.0373784270291417
1600,-58828.53334599198,273.88361895720936,1.0342686253406683
1610,-59032.03334599198,283.30267291258355,1.0342686253406683
1620,-58749.03334599198,272.1789161643529,1.0342686253406683
1630,-58835.72084599198,275.38976112330835,1.0342686253406683
1640,-58872.59584599198,277.3255687717619,1.0342686253406683
1650,-58859.52604632173,277.3221135103732,1.0342436871192242
1660,-58652.58854632173,268.02404724450383,1.0342436871192242
1670,-58756.77604632173,272.6170897302963,1.0342436871192242
1680,-58863.83854632173,276.65934148305564,1.0342436871192242
1690,-58763.15104632173,273.1877213645183,1.0342436871192242
1700,-58975.52604632173,282.60597998044227,1.0342436871192242
1710,-58825.65104632173,278.38616047610384,1.0342436871192242
1720,-58855.90104632173,281.1822612192202,1.0342436871192242
1730,-58863.15104632173,281.56871092040325,1.0342436871192242
1740,-58726.33854632173,275.7803259715557,1.0342436871192242
1750,-58839.56920178421,282.8327643926837,1.0309747721917677
1760,-58730.25670178421,278.290898890277,1.0309747721917677
1770,-58673.31920178421,277.3670192318504,1.0309747721917677
1780,-58736.51857944892,280.91445407487385,1.0314423940715647
1790,-58740.70607944892,281.1257487448931,1.0314423940715647
1800,-58801.01857944892,283.8897484884019,1.0314423940715647
1810,-58775.26857944892,282.23496156665226,1.0314423940715647
1820,-58651.08107944892,278.04813342970874,1.0314423940715647
1830,-58729.251408268465,280.5218159039727,1.0397110821365338
1840,-58685.188908268465,280.84028364773195,1.0397110821365338
1850,-58621.40337821457,279.6606852407369,1.0333975664165007
1860,-58630.52837821457,280.86609532466355,1.0333975664165007
1870,-58622.65337821457,279.60379719272566,1.0333975664165007
1880,-58607.40337821457,280.98602106148536,1.0333975664165007
1890,-58729.77837821457,285.9829382901236,1.0333975664165007
1900,-58692.27837821457,284.4091386923673,1.0333975664165007
1910,-58544.15337821457,278.5744010907066,1.0333975664165007
1920,-58701.09087821457,284.64731938412257,1.0333975664165007
1930,-58562.5036988029,279.82819084256084,1.03075099114399
1940,-58641.6911988029,282.5336470902182,1.03075099114399
1950,-58623.0036988029,280.70153039666064,1.03075099114399
1960,-58492.1286988029,275.88510824722573,1.03075099114399
1970,-58691.8161988029,285.55488790372004,1.03075099114399
1980,-58638.0036988029,281.99827162467255,1.03075099114399
1990,-58643.6286988029,281.7172266783629,1.03075099114399
2000,-58547.68851616932,278.48090795983495,1.0281795645431
2010,-58706.06351616932,285.56369323192735,1.0281795645431
2020,-58785.25101616932,290.2110104733411,1.0281795645431
2030,-58813.12601616932,290.5483642755015,1.0281795645431
2040,-58846.50101616932,291.0455473955737,1.0281795645431
2050,-58616.68085521518,282.8676112288165,1.029648044759277
2060,-58788.74335521518,290.2202795679752,1.029648044759277
2070,-58699.18085521518,287.2838712606766,1.029648044759277
2080,-58726.90042773215,289.0297608606177,1.0325333992758168
2090,-58566.71292773215,282.87544662971777,1.0325333992758168
2100,-58641.46292773215,286.09497430383885,1.0325333992758168
2110,-58531.77542773215,283.58512117758715,1.0325333992758168
2120,-58618.90042773215,287.50142182549035,1.0325333992758168
2130,-58370.27542773215,279.17646591326314,1.0325333992758168
2140,-58483.77542773215,284.87870914115547,1.0325333992758168
2150,-58307.58792773215,279.1506433012215,1.0325333992758168
2160,-58414.65042773215,283.93065094123295,1.0325333992758168
2170,-58226.02542773215,276.89847395273273,1.0325333992758168
2180,-58480.85868009331,284.0934572496647,1.040291081948792
2190,-58489.67118009331,282.4553852942264,1.040291081948792
2200,-58547.657451446634,285.1851468346781,1.0393900928372024
2210,-58486.407451446634,282.7125515865755,1.0393900928372024
2220,-58562.907451446634,286.24359344984066,1.0393900928372024
2230,-58469.782451446634,283.8879553289737,1.0393900928372024
2240,-58378.282451446634,280.1297987041177,1.0393900928372024
2250,-58688.03520413756,293.77715005174264,1.0445240205662467
2260,-58508.84770413756,288.12179438608496,1.0445240205662467
2270,-58679.34770413756,295.0469325813742,1.0445240205662467
2280,-58689.28520413756,295.1374321038186,1.0445240205662467
2290,-58525.41020413756,288.6788140602076,1.0445240205662467
2300,-58653.72270413756,293.8334181781614,1.0445240205662467
2310,-58480.22270413756,286.2679042732889,1.0445240205662467
2320,-58450.66020413756,285.63004667627376,1.0445240205662467
2330,-58422.41020413756,285.38343816907377,1.0445240205662467
2340,-58411.34770413756,287.6086470109298,1.0445240205662467
2350,-58460.91020413756,289.9977338685356,1.0445240205662467
2360,-58381.03520413756,288.37888587395025,1.0445240205662467
2370,-58446.97270413756,291.52959181938553,1.0445240205662467
2380,-58367.66020413756,288.9367056726706,1.0445240205662467
2390,-58407.66020413756,291.3453830360794,1.0445240205662467
2400,-58512.84770413756,295.3603754316011,1.0445240205662467
2410,-58505.97270413756,295.7957848989377,1.0445240205662467
2420,-58552.03520413756,297.3489631194536,1.0445240205662467
2430,-58496.59770413756,295.0171607987613,1.0445240205662467
2440,-58296.91020413756,288.0667237868647,1.0445240205662467
2450,-58468.16020413756,296.3643682179859,1.0445240205662467
2460,-58382.41020413756,293.0571450226462,1.0445240205662467
2470,-58474.72270413756,297.2459700208505,1.0445240205662467
2480,-58459.62523417012,297.7574034764748,1.0420558109788172
2490,-58353.56273417012,293.982716187841,1.0420558109788172
2500,-58347.56273417012,294.94613129679806,1.0420558109788172
2510,-58274.43773417012,292.0295181437038,1.0420558109788172
2520,-58339.18773417012,294.23478715114334,1.0420558109788172
2530,-58261.31273417012,292.3271762321333,1.0420558109788172
2540,-58332.56273417012,294.7581444155897,1.0420558109788172
2550,-58150.62523417012,289.0602316424174,1.0420558109788172
2560,-58123.75023417012,287.68264827910343,1.0420558109788172
2570,-58416.75023417012,298.3275134651699,1.0420558109788172
2580,-58281.18773417012,291.88685568292107,1.0420558109788172
2590,-58224.93773417012,291.0343745745897,1.0420558109788172
2600,-58145.94058868906,288.5812142885527,1.0377951266989167
2610,-58366.75308868906,298.7452739011358,1.0377951266989167
2620,-58327.31558868906,296.5370770533442,1.0377951266989167
2630,-58442.103934283834,302.1014822121572,1.0413424776855285
2640,-58452.853934283834,303.9393722330885,1.0413424776855285
2650,-58458.59258773306,305.49305802194004,1.0425848448013824
2660,-58337.09258773306,301.1912595049862,1.0425848448013824
2670,-58448.46758773306,305.7387673917415,1.0425848448013824
2680,-58373.09258773306,303.7788318181954,1.0425848448013824
2690,-58331.59258773306,302.9517535749658,1.0425848448013824
2700,-58404.54172472807,306.525273472138,1.0347242936588388
2710,-58270.79172472807,301.6684645833916,1.0347242936588388
2720,-58335.54172472807,302.9251288410946,1.0347242936588388
2730,-58357.35422472807,303.1409155968911,1.0347242936588388
2740,-58411.66672472807,306.67137203418156,1.0347242936588388
2750,-58284.19939120626,299.05094090844455,1.0395333736953631
2760,-58295.19939120626,299.69497546126473,1.0395333736953631
2770,-58176.44939120626,297.4689680242567,1.0395333736953631
2780,-58276.47479829879,301.8150879511762,1.0406877822699403
2790,-58369.91229829879,302.30231141093736,1.0406877822699403
2800,-58449.41229829879,304.05070646613297,1.0406877822699403
2810,-58194.66229829879,292.68716451499165,1.0406877822699403
2820,-58531.16229829879,307.06717409645523,1.0406877822699403
2830,-58317.522651699604,298.09129621453735,1.0464028333974693
2840,-58284.897651699604,298.28923474611537,1.0464028333974693
2850,-58411.210151699604,302.51429221940026,1.0464028333974693
2860,-58470.272651699604,305.31086442747096,1.0464028333974693
2870,-58461.710151699604,306.22175960818925,1.0464028333974693
2880,-58346.522651699604,302.93238495009564,1.0464028333974693
2890,-58254.085151699604,299.90907777660715,1.0464028333974693
2900,-58347.4070203061,304.570501098686,1.0398156635422044
2910,-58322.9070203061,302.56081790334696,1.0398156635422044
2920,-58169.5320203061,297.7228657443955,1.0398156635422044
2930,-58122.5320203061,295.104236030094,1.0398156635422044
2940,-58290.2820203061,301.00420444002816,1.0398156635422044
